"subject","item","cue","cued_recall_acc","free_recall_acc","trial","cue_prioritem1","cue_prioritem2","cue_prioritem3","cue_prioritem4","cue_consec_value","cue_consec_lab","stim1","cued_recall_acc_pred","free_recall_acc_pred"
3,"Truppe - Uhr","TBF",0,0,16,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word016",0.280157374,0.154013322
3,"Seele - Presse","TBR",0,0,17,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word017",0.50307899,0.402603974
3,"Wasser - Brief","TBF",0,0,18,"TBR","TBF","TBF","TBR",0.5,"TBR1","word018",0.16028107,0.059675136
3,"Kirche - Zimmer","TBR",0,0,19,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word019",0.501510937,0.400613261
3,"Spiegel - Fenster","TBF",0,0,20,"TBR","TBF","TBR","TBF",0.5,"TBR1","word020",0.15939504,0.059111197
3,"Zukunft - Hilfe","TBR",0,0,21,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word021",0.500049102,0.398759747
3,"Zeichen - Sache","TBF",0,0,22,"TBR","TBF","TBR","TBF",0.5,"TBR1","word022",0.158556427,0.058579424
3,"Beziehung - Wunsch","TBF",0,0,23,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word023",0.275782255,0.14999556
3,"Recht - Frage","TBR",0,0,24,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word024",0.498034746,0.396209411
4,"Tochter - Dienst","TBF",0,0,2,"TBF",NA,NA,NA,-0.5,"TBF1","word002",0.310288047,0.182734074
4,"Zeichen - Sache","TBR",0,0,3,"TBF","TBF",NA,NA,-1.5,"TBF2","word003",0.528713345,0.43550145
4,"Seele - Presse","TBF",0,0,4,"TBR","TBF","TBF",NA,0.5,"TBR1","word004",0.307218091,0.17972582
4,"Liebe - Sprache","TBR",0,0,5,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word005",0.525533012,0.431385211
4,"Partei - Herz","TBR",0,0,6,"TBR","TBF","TBR","TBF",0.5,"TBR1","word006",0.524107019,0.429542667
4,"Spiegel - Fenster","TBR",1,0,7,"TBR","TBR","TBF","TBR",1.5,"TBR2","word007",0.52276741,0.427813499
4,"Arzt - Klasse","TBF",0,0,8,"TBR","TBR","TBR","TBF",2.5,"TBR3","word008",0.302330799,0.174974453
4,"Wasser - Brief","TBR",0,0,9,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word009",0.520305182,0.424639742
4,"Himmel - Kraft","TBF",0,0,10,"TBR","TBF","TBR","TBR",0.5,"TBR1","word010",0.300288368,0.173002653
4,"Stimme - Tätigkeit","TBR",0,0,11,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word011",0.518083275,0.421780793
4,"Rahmen - Abend","TBR",0,0,12,"TBR","TBF","TBR","TBF",0.5,"TBR1","word012",0.46967751,0.360788638
4,"Beziehung - Wunsch","TBR",0,0,13,"TBR","TBR","TBF","TBR",1.5,"TBR2","word013",0.40151296,0.27982337
4,"Kirche - Zimmer","TBF",0,0.5,14,"TBR","TBR","TBR","TBF",2.5,"TBR3","word014",0.087286639,0.020943297
4,"Haus - System","TBF",0,0,15,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word015",0.280871056,0.154672467
4,"Staat - Regierung","TBF",0,1,16,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word016",0.28014677,0.154003536
4,"Soldat - Bericht","TBF",0,0,17,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word017",0.279438156,0.153350127
4,"Kosten - Jahr","TBR",0,0,18,"TBF","TBF","TBF","TBF",-2.5,"TBF3","word018",0.502266982,0.401572769
4,"Truppe - Uhr","TBR",0,0.5,19,"TBR","TBF","TBF","TBF",0.5,"TBR1","word019",0.415380616,0.295770163
4,"Zeit - Ventil","TBR",0,0.5,20,"TBR","TBR","TBF","TBF",1.5,"TBR2","word020",0.360869875,0.234809783
4,"Höhe - Kapital","TBR",0,0.5,21,"TBR","TBR","TBR","TBF",2.5,"TBR3","word021",0.289238154,0.162477946
4,"Recht - Frage","TBF",0,0,22,"TBR","TBR","TBR","TBR",2.5,"TBR3","word022",0.051195149,0.008293981
4,"Zukunft - Hilfe","TBF",0,0,23,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word023",0.270979412,0.145630948
4,"Gesicht - Verwaltung","TBF",0,0.5,24,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word024",0.275239674,0.149500069
5,"Haus - System","TBR",1,1,2,"TBF",NA,NA,NA,-0.5,"TBF1","word002",0.530529395,0.437856141
5,"Partei - Herz","TBF",0,0,3,"TBR","TBF",NA,NA,0.5,"TBR1","word003",0.308678804,0.181154907
5,"Soldat - Bericht","TBR",1,1,4,"TBF","TBR","TBF",NA,-0.5,"TBF1","word004",0.527060801,0.433361416
5,"Zeichen - Sache","TBF",0,0,5,"TBR","TBF","TBR","TBF",0.5,"TBR1","word005",0.305870732,0.178411294
5,"Gegner - Musik","TBR",1,1,6,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word006",0.524107019,0.429542667
5,"Staat - Regierung","TBR",1,0,7,"TBR","TBF","TBR","TBF",0.5,"TBR1","word007",0.52276741,0.427813499
5,"Truppe - Uhr","TBF",0,0,8,"TBR","TBR","TBF","TBR",1.5,"TBR2","word008",0.302330799,0.174974453
5,"Kirche - Zimmer","TBR",1,0,9,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word009",0.520305182,0.424639742
5,"Arzt - Klasse","TBR",1,0,10,"TBR","TBF","TBR","TBR",0.5,"TBR1","word010",0.519167147,0.42317482
5,"Gesicht - Verwaltung","TBR",0,0,11,"TBR","TBR","TBF","TBR",1.5,"TBR2","word011",0.483051572,0.377379294
5,"Stimme - Tätigkeit","TBF",0,0,12,"TBR","TBR","TBR","TBF",2.5,"TBR3","word012",0.149533724,0.052981319
5,"Wasser - Brief","TBF",0,0,13,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word013",0.282420355,0.156106982
5,"Zeit - Ventil","TBF",0,0,14,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word014",0.281614142,0.155359883
5,"Seele - Presse","TBR",0,0,15,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word015",0.504758875,0.404739533
5,"Kosten - Jahr","TBF",0,0,16,"TBR","TBF","TBF","TBF",0.5,"TBR1","word016",0.16122284,0.060276909
5,"Zukunft - Hilfe","TBR",1,1,17,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word017",0.503080228,0.402605546
5,"Rahmen - Abend","TBF",0,0,18,"TBR","TBF","TBR","TBF",0.5,"TBR1","word018",0.160289937,0.05968079
5,"Tochter - Dienst","TBR",1,1,19,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word019",0.501511213,0.400613611
5,"Beziehung - Wunsch","TBF",1,0,20,"TBR","TBF","TBR","TBF",0.5,"TBR1","word020",0.159394739,0.059111006
5,"Liebe - Sprache","TBF",0,0,21,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word021",0.276921514,0.151037941
5,"Höhe - Kapital","TBF",0,0,22,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word022",0.276340583,0.150506073
5,"Recht - Frage","TBR",1,1,23,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word023",0.498678121,0.397023501
5,"Himmel - Kraft","TBR",0,0,24,"TBR","TBF","TBF","TBF",0.5,"TBR1","word024",0.412027331,0.291888035
6,"Gesicht - Verwaltung","TBF",0,0,2,"TBR",NA,NA,NA,0.5,"TBR1","word002",0.310288047,0.182734074
6,"Beziehung - Wunsch","TBR",1,1,3,"TBF","TBR",NA,NA,-0.5,"TBF1","word003",0.528713345,0.43550145
6,"Zeit - Ventil","TBR",1,1,4,"TBR","TBF","TBR",NA,0.5,"TBR1","word004",0.527060801,0.433361416
6,"Arzt - Klasse","TBF",0,0,5,"TBR","TBR","TBF","TBR",1.5,"TBR2","word005",0.305870732,0.178411294
6,"Liebe - Sprache","TBR",0,0,6,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word006",0.524107019,0.429542667
6,"Tochter - Dienst","TBF",0,0,7,"TBR","TBF","TBR","TBR",0.5,"TBR1","word007",0.30343925,0.176047993
6,"Himmel - Kraft","TBF",0,0,8,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word008",0.302330799,0.174974453
6,"Rahmen - Abend","TBR",1,0,9,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word009",0.520305182,0.424639742
6,"Staat - Regierung","TBF",0,0,10,"TBR","TBF","TBF","TBR",0.5,"TBR1","word010",0.300288368,0.173002653
6,"Seele - Presse","TBF",0,0,11,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word011",0.299342967,0.172092724
6,"Spiegel - Fenster","TBR",1,0,12,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word012",0.51704886,0.420451447
6,"Zeichen - Sache","TBR",0,0.5,13,"TBR","TBF","TBF","TBR",0.5,"TBR1","word013",0.459608206,0.348439802
6,"Truppe - Uhr","TBR",0,0,14,"TBR","TBR","TBF","TBF",1.5,"TBR2","word014",0.395223602,0.272686463
6,"Höhe - Kapital","TBR",1,0,15,"TBR","TBR","TBR","TBF",2.5,"TBR3","word015",0.334483003,0.207066064
6,"Kirche - Zimmer","TBF",0,0.5,16,"TBR","TBR","TBR","TBR",2.5,"TBR3","word016",0.052416405,0.008641296
6,"Zukunft - Hilfe","TBF",0,0,17,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word017",0.277418502,0.151493512
6,"Gegner - Musik","TBF",1,0,18,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word018",0.278787515,0.152751088
6,"Haus - System","TBF",0,0,19,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word019",0.278132371,0.152148788
6,"Stimme - Tätigkeit","TBR",1,1,20,"TBF","TBF","TBF","TBF",-2.5,"TBF3","word020",0.500757213,0.399657303
6,"Partei - Herz","TBR",1,1,21,"TBR","TBF","TBF","TBF",0.5,"TBR1","word021",0.413973851,0.294139537
6,"Wasser - Brief","TBR",1,1,22,"TBR","TBR","TBF","TBF",1.5,"TBR2","word022",0.359591198,0.233437489
6,"Recht - Frage","TBF",0,0,23,"TBR","TBR","TBR","TBF",2.5,"TBR3","word023",0.051017708,0.008244017
6,"Soldat - Bericht","TBF",0,0,24,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word024",0.274560527,0.148880729
7,"Soldat - Bericht","TBR",1,0.5,2,"TBR",NA,NA,NA,0.5,"TBR1","word002",0.530529395,0.437856141
7,"Spiegel - Fenster","TBF",0,0,3,"TBR","TBR",NA,NA,1.5,"TBR2","word003",0.308678804,0.181154907
7,"Stimme - Tätigkeit","TBF",0,0,4,"TBF","TBR","TBR",NA,-0.5,"TBF1","word004",0.307218091,0.17972582
7,"Höhe - Kapital","TBF",0,0,5,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word005",0.305870732,0.178411294
7,"Himmel - Kraft","TBR",1,1,6,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word006",0.524107019,0.429542667
7,"Zeit - Ventil","TBF",0,0,7,"TBR","TBF","TBF","TBF",0.5,"TBR1","word007",0.30343925,0.176047993
7,"Gesicht - Verwaltung","TBR",0,0,8,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word008",0.521502991,0.426182962
7,"Zukunft - Hilfe","TBR",0,0.5,9,"TBR","TBF","TBR","TBF",0.5,"TBR1","word009",0.520305182,0.424639742
7,"Beziehung - Wunsch","TBF",0,0,10,"TBR","TBR","TBF","TBR",1.5,"TBR2","word010",0.300288368,0.173002653
7,"Arzt - Klasse","TBR",1,0,11,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word011",0.518083275,0.421780793
7,"Zeichen - Sache","TBF",0,0,12,"TBR","TBF","TBR","TBR",0.5,"TBR1","word012",0.230531975,0.110855968
7,"Kosten - Jahr","TBF",0,0,13,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word013",0.282420598,0.156107207
7,"Kirche - Zimmer","TBR",1,0,14,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word014",0.505663651,0.405890956
7,"Recht - Frage","TBR",1,0,15,"TBR","TBF","TBF","TBR",0.5,"TBR1","word015",0.418539867,0.299442626
7,"Truppe - Uhr","TBF",0,0,16,"TBR","TBR","TBF","TBF",1.5,"TBR2","word016",0.105162174,0.028902945
7,"Staat - Regierung","TBR",1,1,17,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word017",0.503081294,0.4026069
7,"Partei - Herz","TBF",0,0,18,"TBR","TBF","TBR","TBR",0.5,"TBR1","word018",0.160301401,0.059688101
7,"Gegner - Musik","TBR",1,0,19,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word019",0.50151363,0.400616679
7,"Liebe - Sprache","TBF",0,0.5,20,"TBR","TBF","TBR","TBF",0.5,"TBR1","word020",0.159399984,0.059114338
7,"Tochter - Dienst","TBR",1,1,21,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word021",0.500049845,0.398760688
7,"Rahmen - Abend","TBF",1,0,22,"TBR","TBF","TBR","TBF",0.5,"TBR1","word022",0.158557953,0.05858039
7,"Haus - System","TBR",0,0,23,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word023",0.498683752,0.397030629
7,"Wasser - Brief","TBF",0,0,24,"TBR","TBF","TBR","TBF",0.5,"TBR1","word024",0.157771035,0.058083153
8,"Zukunft - Hilfe","TBF",0,0,2,"TBR",NA,NA,NA,0.5,"TBR1","word002",0.310288047,0.182734074
8,"Zeit - Ventil","TBR",0,0,3,"TBF","TBR",NA,NA,-0.5,"TBF1","word003",0.528713345,0.43550145
8,"Staat - Regierung","TBF",0,0,4,"TBR","TBF","TBR",NA,0.5,"TBR1","word004",0.307218091,0.17972582
8,"Stimme - Tätigkeit","TBR",0,0,5,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word005",0.525533012,0.431385211
8,"Liebe - Sprache","TBR",0,0,6,"TBR","TBF","TBR","TBF",0.5,"TBR1","word006",0.524107019,0.429542667
8,"Beziehung - Wunsch","TBR",1,1,7,"TBR","TBR","TBF","TBR",1.5,"TBR2","word007",0.52276741,0.427813499
8,"Seele - Presse","TBF",0,0,8,"TBR","TBR","TBR","TBF",2.5,"TBR3","word008",0.302330799,0.174974453
8,"Tochter - Dienst","TBF",0,0,9,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word009",0.301282596,0.173961476
8,"Zeichen - Sache","TBR",0,0,10,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word010",0.519167147,0.42317482
8,"Kirche - Zimmer","TBF",0,0,11,"TBR","TBF","TBF","TBR",0.5,"TBR1","word011",0.24719118,0.124740256
8,"Partei - Herz","TBR",1,0,12,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word012",0.507585627,0.408339695
8,"Gegner - Musik","TBF",0,0,13,"TBR","TBF","TBR","TBF",0.5,"TBR1","word013",0.16283705,0.061313993
8,"Arzt - Klasse","TBF",0,0,14,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word014",0.281629214,0.155373838
8,"Truppe - Uhr","TBR",0,0,15,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word015",0.504768375,0.404751619
8,"Kosten - Jahr","TBR",0,0,16,"TBR","TBF","TBF","TBR",0.5,"TBR1","word016",0.417712041,0.298478925
8,"Soldat - Bericht","TBF",0,0,17,"TBR","TBR","TBF","TBF",1.5,"TBR2","word017",0.10482107,0.028741253
8,"Haus - System","TBF",0,0,18,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word018",0.278785016,0.152748789
8,"Gesicht - Verwaltung","TBF",0,0,19,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word019",0.278143143,0.152158685
8,"Recht - Frage","TBF",0,0,20,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word020",0.27751158,0.151578891
8,"Rahmen - Abend","TBR",0,1,21,"TBF","TBF","TBF","TBF",-2.5,"TBF3","word021",0.500039669,0.398747794
8,"Höhe - Kapital","TBR",0,0.5,22,"TBR","TBF","TBF","TBF",0.5,"TBR1","word022",0.413302431,0.293362291
8,"Wasser - Brief","TBR",0,0,23,"TBR","TBR","TBF","TBF",1.5,"TBR2","word023",0.358976694,0.232778983
8,"Himmel - Kraft","TBF",0,0,24,"TBR","TBR","TBR","TBF",2.5,"TBR3","word024",0.050846581,0.008195953
9,"Tochter - Dienst","TBR",1,0,2,"TBF",NA,NA,NA,-0.5,"TBF1","word002",0.530529395,0.437856141
9,"Truppe - Uhr","TBF",1,0.5,3,"TBR","TBF",NA,NA,0.5,"TBR1","word003",0.308678804,0.181154907
9,"Arzt - Klasse","TBR",0,0,4,"TBF","TBR","TBF",NA,-0.5,"TBF1","word004",0.527060801,0.433361416
9,"Soldat - Bericht","TBR",1,1,5,"TBR","TBF","TBR","TBF",0.5,"TBR1","word005",0.525533012,0.431385211
9,"Gesicht - Verwaltung","TBR",0,0.5,6,"TBR","TBR","TBF","TBR",1.5,"TBR2","word006",0.524107019,0.429542667
9,"Kosten - Jahr","TBF",0,0,7,"TBR","TBR","TBR","TBF",2.5,"TBR3","word007",0.30343925,0.176047993
9,"Liebe - Sprache","TBF",1,1,8,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word008",0.302330799,0.174974453
9,"Recht - Frage","TBR",0,0,9,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word009",0.520305182,0.424639742
9,"Zukunft - Hilfe","TBR",0,0,10,"TBR","TBF","TBF","TBR",0.5,"TBR1","word010",0.519167147,0.42317482
9,"Spiegel - Fenster","TBF",0,0,11,"TBR","TBR","TBF","TBF",1.5,"TBR2","word011",0.245109557,0.122971118
9,"Kirche - Zimmer","TBR",0,0,12,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word012",0.507592127,0.408347983
9,"Haus - System","TBR",0,0,13,"TBR","TBF","TBR","TBR",0.5,"TBR1","word013",0.420323352,0.301522194
9,"Zeichen - Sache","TBF",0,0,14,"TBR","TBR","TBF","TBR",1.5,"TBR2","word014",0.105904301,0.029256023
9,"Höhe - Kapital","TBF",0,0,15,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word015",0.280875148,0.154676249
9,"Stimme - Tätigkeit","TBF",0,0,16,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word016",0.280146823,0.154003585
9,"Staat - Regierung","TBR",0,0,17,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word017",0.503070808,0.40259358
9,"Rahmen - Abend","TBF",0,0,18,"TBR","TBF","TBF","TBF",0.5,"TBR1","word018",0.160267219,0.059666304
9,"Zeit - Ventil","TBF",0,0,19,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word019",0.278139972,0.152155771
9,"Beziehung - Wunsch","TBF",1,0,20,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word020",0.277515279,0.151582285
9,"Wasser - Brief","TBF",0,0,21,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word021",0.276908368,0.151025898
9,"Seele - Presse","TBR",1,0,22,"TBF","TBF","TBF","TBF",-2.5,"TBF3","word022",0.499344503,0.397867173
9,"Himmel - Kraft","TBR",0,0,23,"TBR","TBF","TBF","TBF",0.5,"TBR1","word023",0.412649894,0.292607537
9,"Gegner - Musik","TBR",1,0,24,"TBR","TBR","TBF","TBF",1.5,"TBR2","word024",0.358376473,0.232136403
10,"Stimme - Tätigkeit","TBR",0,0.5,2,"TBR",NA,NA,NA,0.5,"TBR1","word002",0.530529395,0.437856141
10,"Kosten - Jahr","TBR",1,0,3,"TBR","TBR",NA,NA,1.5,"TBR2","word003",0.528713345,0.43550145
10,"Gegner - Musik","TBF",0,0,4,"TBR","TBR","TBR",NA,2.5,"TBR3","word004",0.307218091,0.17972582
