"subject","item","cue","cued_recall_acc","free_recall_acc","trial","cue_prioritem1","cue_prioritem2","cue_prioritem3","cue_prioritem4","cue_consec_value","cue_consec_lab","stim1","cued_recall_acc_pred","free_recall_acc_pred"
1,"Wasser - Brief","TBF",0,0,2,"TBF",NA,NA,NA,-0.5,"TBF1","word002",0.310288047,0.182734074
1,"Beziehung - Wunsch","TBF",0,0,3,"TBF","TBF",NA,NA,-1.5,"TBF2","word003",0.308678804,0.181154907
1,"Rahmen - Abend","TBF",0,0,4,"TBF","TBF","TBF",NA,-2.5,"TBF3","word004",0.307218091,0.17972582
1,"Gegner - Musik","TBR",0,0,5,"TBF","TBF","TBF","TBF",-2.5,"TBF3","word005",0.525533012,0.431385211
1,"Höhe - Kapital","TBF",0,0,6,"TBR","TBF","TBF","TBF",0.5,"TBR1","word006",0.304615812,0.177190125
1,"Partei - Herz","TBF",0,0,7,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word007",0.30343925,0.176047993
1,"Arzt - Klasse","TBR",0,0,8,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word008",0.521502991,0.426182962
1,"Truppe - Uhr","TBF",0,0,9,"TBR","TBF","TBF","TBR",0.5,"TBR1","word009",0.301282596,0.173961476
1,"Himmel - Kraft","TBR",1,1,10,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word010",0.519167147,0.42317482
1,"Staat - Regierung","TBR",1,0.5,11,"TBR","TBF","TBR","TBF",0.5,"TBR1","word011",0.518083275,0.421780793
1,"Haus - System","TBR",0,0,12,"TBR","TBR","TBF","TBR",1.5,"TBR2","word012",0.51704886,0.420451447
1,"Zeichen - Sache","TBF",0,0,13,"TBR","TBR","TBR","TBF",2.5,"TBR3","word013",0.297582,0.17040253
1,"Stimme - Tätigkeit","TBF",0,0,14,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word014",0.296759554,0.169615241
1,"Seele - Presse","TBR",0,0,15,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word015",0.507084003,0.407700221
1,"Gesicht - Verwaltung","TBR",0,0,16,"TBR","TBF","TBF","TBR",0.5,"TBR1","word016",0.418699811,0.299628937
1,"Soldat - Bericht","TBR",0,0.5,17,"TBR","TBR","TBF","TBF",1.5,"TBR2","word017",0.363922698,0.238097308
1,"Kosten - Jahr","TBF",0,0,18,"TBR","TBR","TBR","TBF",2.5,"TBR3","word018",0.051976219,0.00851542
1,"Liebe - Sprache","TBF",0,0.5,19,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word019",0.277491829,0.151560773
1,"Zeit - Ventil","TBF",0,0,20,"TBF","TBF","TBR","TBR",-1.5,"TBF2","word020",0.277519201,0.151585882
1,"Kirche - Zimmer","TBR",1,1,21,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word021",0.500041285,0.398749841
1,"Tochter - Dienst","TBR",0,0,22,"TBR","TBF","TBF","TBF",0.5,"TBR1","word022",0.413303508,0.293363538
1,"Zukunft - Hilfe","TBR",0,0,23,"TBR","TBR","TBF","TBF",1.5,"TBR2","word023",0.358976229,0.232778484
1,"Recht - Frage","TBR",0,0,24,"TBR","TBR","TBR","TBF",2.5,"TBR3","word024",0.28750544,0.160849836
2,"Zukunft - Hilfe","TBF",0,0,2,"TBR",NA,NA,NA,0.5,"TBR1","word002",0.310288047,0.182734074
2,"Kirche - Zimmer","TBF",1,0,3,"TBF","TBR",NA,NA,-0.5,"TBF1","word003",0.308678804,0.181154907
2,"Gegner - Musik","TBF",0,0,4,"TBF","TBF","TBR",NA,-1.5,"TBF2","word004",0.307218091,0.17972582
2,"Zeichen - Sache","TBR",1,1,5,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word005",0.525533012,0.431385211
2,"Recht - Frage","TBF",1,0,6,"TBR","TBF","TBF","TBF",0.5,"TBR1","word006",0.304615812,0.177190125
2,"Kosten - Jahr","TBR",1,0,7,"TBF","TBR","TBF","TBF",-0.5,"TBF1","word007",0.52276741,0.427813499
2,"Wasser - Brief","TBR",0,0,8,"TBR","TBF","TBR","TBF",0.5,"TBR1","word008",0.521502991,0.426182962
2,"Soldat - Bericht","TBF",1,1,9,"TBR","TBR","TBF","TBR",1.5,"TBR2","word009",0.301282596,0.173961476
2,"Liebe - Sprache","TBR",0,0.5,10,"TBF","TBR","TBR","TBF",-0.5,"TBF1","word010",0.519167147,0.42317482
2,"Rahmen - Abend","TBR",0,0,11,"TBR","TBF","TBR","TBR",0.5,"TBR1","word011",0.518083275,0.421780793
2,"Höhe - Kapital","TBR",1,0,12,"TBR","TBR","TBF","TBR",1.5,"TBR2","word012",0.471420105,0.362938315
2,"Truppe - Uhr","TBR",1,1,13,"TBR","TBR","TBR","TBF",2.5,"TBR3","word013",0.402522253,0.280974287
2,"Zeit - Ventil","TBR",0,0,14,"TBR","TBR","TBR","TBR",2.5,"TBR3","word014",0.345077777,0.218058615
2,"Himmel - Kraft","TBF",1,1,15,"TBR","TBR","TBR","TBR",2.5,"TBR3","word015",0.052650998,0.008708698
2,"Beziehung - Wunsch","TBR",1,1,16,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word016",0.5029203,0.402402391
2,"Tochter - Dienst","TBF",1,0,17,"TBR","TBF","TBR","TBR",0.5,"TBR1","word017",0.160276074,0.05967195
2,"Partei - Herz","TBR",1,1,18,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word018",0.502286128,0.401597076
2,"Haus - System","TBF",0,0,19,"TBR","TBF","TBR","TBF",0.5,"TBR1","word019",0.159844378,0.059396922
2,"Staat - Regierung","TBF",1,1,20,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word020",0.277524579,0.151590817
2,"Arzt - Klasse","TBF",1,0,21,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word021",0.276921508,0.151037936
2,"Gesicht - Verwaltung","TBF",1,0.5,22,"TBF","TBF","TBF","TBR",-2.5,"TBF3","word022",0.276334444,0.150500457
2,"Stimme - Tätigkeit","TBR",0,0,23,"TBF","TBF","TBF","TBF",-2.5,"TBF3","word023",0.498676407,0.397021332
2,"Seele - Presse","TBF",1,1,24,"TBR","TBF","TBF","TBF",0.5,"TBR1","word024",0.157749728,0.058069713
3,"Liebe - Sprache","TBF",0,0,2,"TBR",NA,NA,NA,0.5,"TBR1","word002",0.310288047,0.182734074
3,"Himmel - Kraft","TBR",1,0,3,"TBF","TBR",NA,NA,-0.5,"TBF1","word003",0.528713345,0.43550145
3,"Kosten - Jahr","TBF",0,0,4,"TBR","TBF","TBR",NA,0.5,"TBR1","word004",0.307218091,0.17972582
3,"Partei - Herz","TBF",0,0,5,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word005",0.305870732,0.178411294
3,"Haus - System","TBR",0,0,6,"TBF","TBF","TBR","TBF",-1.5,"TBF2","word006",0.524107019,0.429542667
3,"Gesicht - Verwaltung","TBR",0,0,7,"TBR","TBF","TBF","TBR",0.5,"TBR1","word007",0.52276741,0.427813499
3,"Staat - Regierung","TBR",1,1,8,"TBR","TBR","TBF","TBF",1.5,"TBR2","word008",0.521502991,0.426182962
3,"Zeit - Ventil","TBF",0,0,9,"TBR","TBR","TBR","TBF",2.5,"TBR3","word009",0.301282596,0.173961476
3,"Gegner - Musik","TBR",1,0,10,"TBF","TBR","TBR","TBR",-0.5,"TBF1","word010",0.519167147,0.42317482
3,"Stimme - Tätigkeit","TBF",0,0,11,"TBR","TBF","TBR","TBR",0.5,"TBR1","word011",0.246897737,0.124490279
3,"Soldat - Bericht","TBR",0,0,12,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word012",0.507591114,0.408346692
3,"Höhe - Kapital","TBF",0,0,13,"TBR","TBF","TBR","TBF",0.5,"TBR1","word013",0.162846495,0.061320082
3,"Tochter - Dienst","TBR",1,0,14,"TBF","TBR","TBF","TBR",-0.5,"TBF1","word014",0.505677442,0.405908513
3,"Rahmen - Abend","TBF",0,0,15,"TBR","TBF","TBR","TBF",0.5,"TBR1","word015",0.161774391,0.060630466
