"subject","group","cue","condition","list","stim1","stim2","free_recall_pair","free_recall_single","free_recall_acc","cued_recall_acc","trial","cue_prioritem1","cue_prioritem2","cue_prioritem3","cue_prioritem4","cue_consec_value","cue_consec_lab","cued_recall_acc_pred","free_recall_acc_pred"
1,"A","TBR","Reh","A1","teil","Besen",NA,NA,0,0,2,"TBF",NA,NA,NA,-0.5,"TBF1",0.346247236,0.191038958
1,"A","TBR","Reh","A1","stachel","Armee",NA,NA,0,0,4,"TBF","TBR","TBF",NA,-0.5,"TBF1",0.417595154,0.246472508
1,"A","TBR","Reh","A1","volk","Straße",1,NA,1,1,5,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.371920918,0.205688814
1,"A","TBR","Reh","A1","gruppe","Stück",1,NA,1,1,7,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.369481428,0.203622993
1,"A","TBR","Reh","A1","stimme","Tätigkeit",NA,NA,0,0,9,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.407320008,0.232990373
1,"A","TBR","Reh","A1","verlobung","Augenblick",1,NA,1,1,12,"TBF","TBF","TBR","TBF",-1.5,"TBF2",0.415877021,0.240219797
1,"A","TBR","Reh","A1","lösung","Körper",1,NA,1,1,15,"TBF","TBF","TBR","TBF",-1.5,"TBF2",NA,NA
1,"A","TBR","Reh","A1","mittel","Zusammenhang",1,NA,1,1,17,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.488126871,0.348881734
1,"A","TBR","Reh","A1","untersuchung","Brücke",NA,NA,0,0,19,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.474353059,0.318128669
1,"A","TBR","Reh","A1","schutz","Bildung",NA,NA,0,0,20,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.41050257,0.211054213
1,"A","TBR","Reh","A1","tier","Flasche",1,NA,1,1,23,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.516144524,0.411410494
1,"A","TBR","Reh","A1","beispiel","Blut",NA,NA,0,1,24,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.389070202,0.198312436
1,"A","TBR","Reh","A2","farbe","Roller",NA,NA,0,1,3,"TBF","TBR",NA,NA,-0.5,"TBF1",0.392201481,0.221727698
1,"A","TBR","Reh","A2","mensch","Rechte",1,NA,1,0,4,"TBR","TBF","TBR",NA,0.5,"TBR1",0.403220654,0.231313412
1,"A","TBR","Reh","A2","boden","Gebiet",NA,NA,0,0,7,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.425289691,0.253475063
1,"A","TBR","Reh","A2","rede","Vorstellung",NA,NA,0,0,10,"TBF","TBF","TBR","TBF",-1.5,"TBF2",0.393390869,0.220262822
1,"A","TBR","Reh","A2","abschluss","Rathaus",NA,NA,0,0,11,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.380808025,0.210396427
1,"A","TBR","Reh","A2","erde","Ordnung",NA,NA,0,1,13,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.421187023,0.245385841
1,"A","TBR","Reh","A2","wirtschaft","Vertrag",1,NA,1,1,14,"TBR","TBF","TBR","TBR",0.5,"TBR1",0.337444497,0.175491796
1,"A","TBR","Reh","A2","regel","Bild",1,NA,1,1,18,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.428048935,0.250717118
1,"A","TBR","Reh","A2","ofen","Gardinen",NA,NA,0,1,20,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.481677499,0.331420644
1,"A","TBR","Reh","A2","wirkung","Vertreter",NA,1,0.5,0,22,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.444898919,0.269426375
1,"A","TBR","Reh","A2","luft","Unterstützung",1,NA,1,1,24,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.562379301,0.578314024
1,"A","TBR","Att","B1","rahmen","Abend",NA,NA,0,1,2,"TBR",NA,NA,NA,0.5,"TBR1",0.355499658,0.196112088
1,"A","TBR","Att","B1","wahrheit","Leute",NA,NA,0,1,3,"TBR","TBR",NA,NA,1.5,"TBR2",0.386092481,0.216668371
1,"A","TBR","Att","B1","beginn","Gans",NA,NA,0,0,6,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.360602183,0.198330833
1,"A","TBR","Att","B1","eltern","Salz",NA,NA,0,1,7,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.391657578,0.219807472
1,"A","TBR","Att","B1","gegner","Musik",NA,NA,0,1,8,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.37207643,0.201792104
1,"A","TBR","Att","B1","schluß","Boot",NA,1,0.5,1,11,"TBF","TBF","TBR","TBR",-1.5,"TBF2",NA,NA
1,"A","TBR","Att","B1","klausur","Bauch",1,NA,1,1,16,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.471350091,0.315558913
1,"A","TBR","Att","B1","absicht","Welle",NA,NA,0,0,18,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.506480646,0.393124618
1,"A","TBR","Att","B1","revolution","Pfanne",NA,NA,0,1,20,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.447568379,0.274098795
1,"A","TBR","Att","B1","bett","Behälter",NA,NA,0,1,21,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.353818896,0.180571499
1,"A","TBR","Att","B1","sicherheit","Politik",1,NA,1,1,24,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.549179017,0.522507583
1,"A","TBR","Att","B2","kommission","Seil",NA,NA,0,0,3,"TBF","TBR",NA,NA,-0.5,"TBF1",0.354341526,0.195264409
1,"A","TBR","Att","B2","mitglied","Halle",NA,NA,0,0,4,"TBR","TBF","TBR",NA,0.5,"TBR1",0.390416163,0.219835423
1,"A","TBR","Att","B2","schauspieler","Frau",NA,NA,0,1,5,"TBR","TBR","TBF","TBR",1.5,"TBR2",0.366724998,0.202290661
1,"A","TBR","Att","B2","gitter","Schlauch",1,NA,1,0,7,"TBF","TBR","TBR","TBR",-0.5,"TBF1",0.364427764,0.200443261
1,"A","TBR","Att","B2","denken","Park",1,NA,1,1,12,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.422788635,0.247635098
1,"A","TBR","Att","B2","ansicht","Fisch",NA,NA,0,1,13,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.41656811,0.227159692
1,"A","TBR","Att","B2","produktion","Platz",NA,NA,0,1,15,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.473692139,0.321190396
1,"A","TBR","Att","B2","mönch","Minute",NA,NA,0,1,19,"TBF","TBF","TBF","TBR",-2.5,"TBF3",NA,NA
1,"A","TBR","Att","B2","handel","Gewalt",1,NA,1,1,20,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.40065579,0.209299739
1,"A","TBR","Att","B2","küche","Gespräch",1,NA,1,1,23,"TBF","TBF","TBR","TBR",-1.5,"TBF2",NA,NA
1,"A","TBR","Att","B2","form","Nagel",NA,1,0.5,0,24,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.4067846,0.209581013
1,"A","TBR","Reh+Att","C1","arme","Glück",NA,NA,0,1,2,"TBR",NA,NA,NA,0.5,"TBR1",0.37069693,0.20562025
1,"A","TBR","Reh+Att","C1","haus","System",NA,NA,0,1,6,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.427862411,0.257408912
1,"A","TBR","Reh+Att","C1","idee","Morgen",NA,NA,0,1,7,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.374717674,0.207102672
1,"A","TBR","Reh+Att","C1","industrie","Artikel",NA,NA,0,0,11,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.386350583,0.21445069
1,"A","TBR","Reh+Att","C1","prinzip","Zaun",NA,1,0.5,0,12,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.43758176,0.265603311
1,"A","TBR","Reh+Att","C1","werk","Aufgabe",NA,NA,0,0,13,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.371225276,0.190754975
1,"A","TBR","Reh+Att","C1","funktion","Dorf",NA,NA,0,0,14,"TBR","TBR","TBR","TBF",2.5,"TBR3",0.245736983,0.150392327
1,"A","TBR","Reh+Att","C1","mitte","Stift",1,NA,1,1,17,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.436679153,0.261447581
1,"A","TBR","Reh+Att","C1","vorschlag","Poster",1,NA,1,1,18,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.371899767,0.18902329
1,"A","TBR","Reh+Att","C1","zahl","Verhalten",NA,NA,0,0,20,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.481677499,0.331420644
1,"A","TBR","Reh+Att","C1","chef","Acker",NA,NA,0,1,22,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.437417747,0.259939846
1,"A","TBR","Reh+Att","C2","theater","Zeitung",NA,NA,0,1,2,"TBR",NA,NA,NA,0.5,"TBR1",0.400801627,0.229987807
1,"A","TBR","Reh+Att","C2","inhalt","Zweck",NA,NA,0,1,7,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.369481428,0.203622993
1,"A","TBR","Reh+Att","C2","wasser","Brief",NA,NA,0,1,8,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.409009639,0.235078853
1,"A","TBR","Reh+Att","C2","bauer","Versuch",NA,NA,0,0,11,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.417469254,0.242342822
1,"A","TBR","Reh+Att","C2","bereich","Berg",NA,NA,0,1,12,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.415877021,0.240219797
1,"A","TBR","Reh+Att","C2","jugend","General",NA,NA,0,1,13,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.331919702,0.174230256
1,"A","TBR","Reh+Att","C2","geschichte","Ergebnis",NA,NA,0,1,17,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.436679153,0.261447581
1,"A","TBR","Reh+Att","C2","schädel","Million",NA,NA,0,1,20,"TBF","TBF","TBR","TBF",-1.5,"TBF2",NA,NA
1,"A","TBR","Reh+Att","C2","kultur","Bedeutung",NA,NA,0,1,21,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.42174903,0.222109503
1,"A","TBR","Reh+Att","C2","mädchen","Ding",1,NA,1,1,22,"TBR","TBR","TBF","TBF",1.5,"TBR2",NA,NA
1,"A","TBR","Reh+Att","C2","zeit","Ventil",NA,NA,0,0,23,"TBR","TBR","TBR","TBF",2.5,"TBR3",0.17771896,0.142527704
1,"A","TBR","Control","D1","menge","Ziegel",NA,NA,0,1,2,"TBF",NA,NA,NA,-0.5,"TBF1",0.350793578,0.193469588
1,"A","TBR","Control","D1","karton","Koffer",NA,NA,0,0,6,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.412833532,0.239987751
1,"A","TBR","Control","D1","waffe","Kamin",NA,NA,0,1,7,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.404153833,0.230826565
1,"A","TBR","Control","D1","jahrhundert","Stern",NA,NA,0,1,10,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.405746452,0.231088248
1,"A","TBR","Control","D1","zweifel","Aussicht",NA,1,0.5,0,12,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.462958546,0.304738612
1,"A","TBR","Control","D1","punkt","Woche",NA,NA,0,0,13,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.401580151,0.226244544
1,"A","TBR","Control","D1","düne","Arena",1,NA,1,1,15,"TBF","TBR","TBR","TBF",-0.5,"TBF1",NA,NA
1,"A","TBR","Control","D1","insel","Sofa",NA,NA,0,0,17,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.488126871,0.348881734
1,"A","TBR","Control","D1","gesicht","Verwaltung",1,NA,1,1,18,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.332685384,0.173358838
1,"A","TBR","Control","D1","führung","Wandern",NA,NA,0,1,19,"TBR","TBR","TBF","TBR",1.5,"TBR2",NA,NA
1,"A","TBR","Control","D1","tag","Wald",NA,NA,0,1,21,"TBF","TBR","TBR","TBR",-0.5,"TBF1",0.489879593,0.342058752
1,"A","TBR","Control","D1","verhältnis","Titel",1,NA,1,1,23,"TBF","TBR","TBF","TBR",-0.5,"TBF1",NA,NA
1,"A","TBR","Control","D2","gestalt","Karte",1,NA,1,1,3,"TBF","TBF",NA,NA,-1.5,"TBF2",0.405413033,0.233986217
1,"A","TBR","Control","D2","sohn","Angeklagte",NA,NA,0,1,7,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.364427764,0.200443261
1,"A","TBR","Control","D2","bürger","Philosophie",1,NA,1,1,8,"TBR","TBF","TBF","TBF",0.5,"TBR1",NA,NA
1,"A","TBR","Control","D2","wein","Unterführung",NA,NA,0,1,9,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.394759833,0.221715019
