"subject","group","cue","condition","list","stim1","stim2","free_recall_pair","free_recall_single","free_recall_acc","cued_recall_acc","trial","cue_prioritem1","cue_prioritem2","cue_prioritem3","cue_prioritem4","cue_consec_value","cue_consec_lab","cued_recall_acc_pred","free_recall_acc_pred"
1,"A","TBR","Control","D2","preis","Schwierigkeit",NA,NA,0,0,12,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.430012367,0.256029496
1,"A","TBR","Control","D2","verhandlung","Westen",NA,NA,0,0,13,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.421187023,0.245385841
1,"A","TBR","Control","D2","einheit","Erklärung",NA,1,0.5,0,16,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.423744123,0.246812716
1,"A","TBR","Control","D2","nähe","Computer",NA,NA,0,0,17,"TBR","TBF","TBF","TBR",0.5,"TBR1",NA,NA
1,"A","TBR","Control","D2","folge","Kabel",NA,NA,0,0,18,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.298554385,0.157683029
1,"A","TBR","Control","D2","literatur","Wirklichkeit",NA,NA,0,1,20,"TBF","TBR","TBR","TBR",-0.5,"TBF1",0.482870381,0.329183283
1,"A","TBR","Control","D2","gedanke","Linie",NA,NA,0,0,22,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.542024763,0.500124509
1,"A","TBR","Control","D2","schicksal","Weise",NA,NA,0,1,23,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.404742128,0.206001278
2,"B","TBR","Reh","A1","kind","Gericht",1,NA,1,1,2,"TBF",NA,NA,NA,-0.5,"TBF1",0.400801627,0.229987807
2,"B","TBR","Reh","A1","hand","Planet",1,NA,1,1,3,"TBR","TBF",NA,NA,0.5,"TBR1",0.392201481,0.221727698
2,"B","TBR","Reh","A1","zustand","Schnee",1,NA,1,1,5,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.371920918,0.205688814
2,"B","TBR","Reh","A1","rat","Stein",1,NA,1,1,6,"TBR","TBF","TBR","TBR",0.5,"TBR1",0.427862411,0.257408912
2,"B","TBR","Reh","A1","gegenstand","Pferd",1,NA,1,1,9,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.372392652,0.205091347
2,"B","TBR","Reh","A1","kosten","Jahr",NA,NA,0,1,10,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.417464665,0.242336636
2,"B","TBR","Reh","A1","welt","Willen",NA,NA,0,0,13,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.421187023,0.245385841
2,"B","TBR","Reh","A1","ozean","Lehne",NA,1,0.5,1,14,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.337394174,0.176765447
2,"B","TBR","Reh","A1","kritik","Buch",NA,NA,0,0,15,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.283149052,0.15536831
2,"B","TBR","Reh","A1","tatsache","Schläger",NA,1,0.5,0,16,"TBR","TBR","TBR","TBF",2.5,"TBR3",0.127607005,0.141283564
2,"B","TBR","Reh","A1","stamm","Garten",NA,1,0.5,0,21,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.462290486,0.295443976
2,"B","TBR","Reh","A1","ausdruck","Bruder",1,NA,1,1,23,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.495412476,0.357792664
2,"B","TBR","Reh","A2","gefühl","Wert",NA,NA,0,0,2,"TBR",NA,NA,NA,0.5,"TBR1",NA,NA
2,"B","TBR","Reh","A2","antrag","Sport",NA,NA,0,0,3,"TBR","TBR",NA,NA,1.5,"TBR2",0.398621714,0.227444944
2,"B","TBR","Reh","A2","tanne","Geige",NA,NA,0,0,6,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.420091483,0.247999069
2,"B","TBR","Reh","A2","natur","Blick",NA,NA,0,0,8,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.396215763,0.223289231
2,"B","TBR","Reh","A2","erfahrung","Sand",NA,NA,0,0,9,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.38384889,0.210850291
2,"B","TBR","Reh","A2","kopf","Leitung",NA,NA,0,0,10,"TBR","TBR","TBF","TBR",1.5,"TBR2",0.292484396,0.161325192
2,"B","TBR","Reh","A2","kreis","Erkenntnis",NA,NA,0,0,12,"TBF","TBR","TBR","TBR",-0.5,"TBF1",0.385197902,0.213336785
2,"B","TBR","Reh","A2","wort","Anwendung",NA,NA,0,0,13,"TBR","TBF","TBR","TBR",0.5,"TBR1",0.354121938,0.18157265
2,"B","TBR","Reh","A2","tür","Theorie",1,NA,1,1,17,"TBF","TBF","TBF","TBR",-2.5,"TBF3",NA,NA
2,"B","TBR","Reh","A2","organisation","Statue",NA,1,0.5,0,18,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.36539259,0.189046857
2,"B","TBR","Reh","A2","feind","Bewusstsein",NA,NA,0,0,24,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.514156543,0.404179379
2,"B","TBR","Att","B1","zukunft","Hilfe",NA,NA,0,0,2,"TBF",NA,NA,NA,-0.5,"TBF1",0.381887037,0.213711663
2,"B","TBR","Att","B1","wagen","Decke",NA,NA,0,0,8,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.423046953,0.250158505
2,"B","TBR","Att","B1","schreibtisch","Stelle",NA,NA,0,0,9,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.383161363,0.212597212
2,"B","TBR","Att","B1","gefahr","Zahn",NA,NA,0,0,10,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.399445169,0.225383869
2,"B","TBR","Att","B1","nation","Auffassung",NA,NA,0,0,13,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.421187023,0.245385841
2,"B","TBR","Att","B1","schwester","Entwicklung",NA,1,0.5,0,14,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.476376792,0.327878147
2,"B","TBR","Att","B1","freiheit","Reihe",NA,1,0.5,0,16,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.410408007,0.233271059
2,"B","TBR","Att","B1","soldat","Bericht",1,NA,1,1,18,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.476295954,0.322856978
2,"B","TBR","Att","B1","mutter","Papier",1,NA,1,1,19,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.377971642,0.191798058
2,"B","TBR","Att","B1","schlüssel","Weg",NA,NA,0,1,20,"TBR","TBR","TBF","TBR",1.5,"TBR2",NA,NA
2,"B","TBR","Att","B1","gesetz","Fräulein",1,NA,1,1,22,"TBF","TBR","TBR","TBR",-0.5,"TBF1",0.520280189,0.417876144
2,"B","TBR","Att","B1","richter","Konferenz",NA,NA,0,0,23,"TBR","TBF","TBR","TBR",0.5,"TBR1",0.336350229,0.171710145
2,"B","TBR","Att","B2","freibad","Abfall",1,NA,1,1,6,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.375978661,0.208219787
2,"B","TBR","Att","B2","opfer","Wolke",1,NA,1,1,7,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.374717674,0.207102672
2,"B","TBR","Att","B2","minister","Rolle",NA,NA,0,0,9,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.377680197,0.20866936
2,"B","TBR","Att","B2","darstellung","Fluss",NA,NA,0,0,11,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.447834792,0.280866295
2,"B","TBR","Att","B2","urteil","Finger",NA,NA,0,1,13,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.451653327,0.284927674
2,"B","TBR","Att","B2","schüler","Leben",NA,NA,0,0,15,"TBF","TBR","TBF","TBR",-0.5,"TBF1",NA,NA
2,"B","TBR","Att","B2","winter","Marke",NA,1,0.5,0,19,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.449020949,0.276715686
2,"B","TBR","Att","B2","person","Schule",1,NA,1,1,20,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.408776772,0.215107997
2,"B","TBR","Att","B2","falle","Heizung",1,NA,1,1,21,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.334486302,0.164827079
2,"B","TBR","Att","B2","lackierung","Marathon",1,NA,1,1,22,"TBR","TBR","TBR","TBF",2.5,"TBR3",0.138645966,0.141493344
2,"B","TBR","Att","B2","beutel","Lenkrad",NA,1,0.5,0,23,"TBR","TBR","TBR","TBR",2.5,"TBR3",0.154416518,0.141671137
2,"B","TBR","Reh+Att","C1","kenntnis","Wase",NA,NA,0,0,3,"TBF","TBF",NA,NA,-1.5,"TBF2",0.392201481,0.221727698
2,"B","TBR","Reh+Att","C1","geist","Lage",NA,NA,0,0,9,"TBF","TBF","TBF","TBF",-2.5,"TBF3",0.383161363,0.212597212
2,"B","TBR","Reh+Att","C1","druck","Topf",NA,NA,0,0,10,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.405746452,0.231088248
2,"B","TBR","Reh+Att","C1","haltung","Ball",NA,1,0.5,0,11,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.45660262,0.294852951
2,"B","TBR","Reh+Att","C1","umstand","Socken",1,NA,1,1,14,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.41298379,0.236478944
2,"B","TBR","Reh+Att","C1","grund","Urkunde",NA,NA,0,0,15,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.464543903,0.304259859
2,"B","TBR","Reh+Att","C1","entscheidung","Tüte",1,NA,1,0,16,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.401378888,0.214868941
2,"B","TBR","Reh+Att","C1","richtung","Maß",1,NA,1,1,18,"TBF","TBR","TBR","TBR",-0.5,"TBF1",0.442740844,0.268705895
2,"B","TBR","Reh+Att","C1","größe","Beschreibung",1,NA,1,1,20,"TBF","TBR","TBF","TBR",-0.5,"TBF1",NA,NA
2,"B","TBR","Reh+Att","C1","staat","Regierung",NA,NA,0,1,21,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.353817551,0.180570796
2,"B","TBR","Reh+Att","C1","dame","Verfügung",NA,NA,0,0,22,"TBR","TBR","TBF","TBR",1.5,"TBR2",0.331959023,0.164034174
2,"B","TBR","Reh+Att","C1","wissenschaft","Tasse",NA,1,0.5,1,23,"TBR","TBR","TBR","TBF",2.5,"TBR3",0.165739592,0.142142496
2,"B","TBR","Reh+Att","C2","wesen","Durchführung",1,NA,1,1,4,"TBF","TBF","TBF",NA,-2.5,"TBF3",0.396659342,0.225219422
2,"B","TBR","Reh+Att","C2","behandlung","Schrift",NA,NA,0,0,7,"TBF","TBF","TBR","TBF",-1.5,"TBF2",0.380149147,0.210924486
2,"B","TBR","Reh+Att","C2","kaiser","Tat",1,NA,1,1,8,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.368356385,0.202692528
2,"B","TBR","Reh+Att","C2","anzahl","Telefon",NA,NA,0,0,10,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.399445169,0.225383869
2,"B","TBR","Reh+Att","C2","liebe","Sprache",NA,NA,0,0,11,"TBR","TBF","TBR","TBR",0.5,"TBR1",0.447834792,0.280866295
2,"B","TBR","Reh+Att","C2","partei","Herz",NA,NA,0,1,12,"TBR","TBR","TBF","TBR",1.5,"TBR2",0.445541635,0.276623068
2,"B","TBR","Reh+Att","C2","hälfte","Klettern",1,NA,1,1,15,"TBF","TBF","TBR","TBR",-1.5,"TBF2",NA,NA
2,"B","TBR","Reh+Att","C2","schaden","Bein",1,NA,1,1,17,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.498501359,0.373818756
2,"B","TBR","Reh+Att","C2","stunde","Polizei",1,NA,1,1,18,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.371946874,0.189052907
2,"B","TBR","Reh+Att","C2","seele","Presse",NA,NA,0,0,19,"TBR","TBR","TBF","TBR",1.5,"TBR2",0.289683313,0.156069249
2,"B","TBR","Reh+Att","C2","arzt","Klasse",1,NA,1,1,20,"TBR","TBR","TBR","TBF",2.5,"TBR3",0.13774322,0.141464104
2,"B","TBR","Reh+Att","C2","gelegenheit","Ordner",1,NA,1,1,21,"TBR","TBR","TBR","TBR",2.5,"TBR3",0.136179485,0.141292863
2,"B","TBR","Control","D1","prozent","Rasen",NA,NA,0,0,2,"TBR",NA,NA,NA,0.5,"TBR1",0.365437459,0.202150471
2,"B","TBR","Control","D1","spiegel","Fenster",1,NA,1,0,3,"TBR","TBR",NA,NA,1.5,"TBR2",0.34970158,0.192706643
2,"B","TBR","Control","D1","hocker","König",1,NA,1,1,6,"TBF","TBF","TBR","TBR",-1.5,"TBF2",0.375978661,0.208219787
2,"B","TBR","Control","D1","meinung","Macht",1,NA,1,1,7,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.397770814,0.225005233
2,"B","TBR","Control","D1","fassade","Girlande",1,NA,1,1,8,"TBR","TBR","TBF","TBF",1.5,"TBR2",0.404115394,0.225892321
2,"B","TBR","Control","D1","auge","Einfluss",1,NA,1,1,12,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.43758176,0.265603311
2,"B","TBR","Control","D1","ort","Blatt",NA,1,0.5,1,15,"TBF","TBF","TBR","TBF",-1.5,"TBF2",0.483468584,0.341474815
2,"B","TBR","Control","D1","schritt","Arbeit",1,NA,1,1,16,"TBR","TBF","TBF","TBR",0.5,"TBR1",0.380286706,0.195814133
2,"B","TBR","Control","D1","abkommen","Meer",1,NA,1,1,18,"TBF","TBR","TBR","TBF",-0.5,"TBF1",0.450565033,0.279556567
2,"B","TBR","Control","D1","mund","Schrank",NA,1,0.5,1,20,"TBF","TBR","TBF","TBR",-0.5,"TBF1",0.439933322,0.264001359
2,"B","TBR","Control","D1","anspruch","Leiste",NA,1,0.5,1,21,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.353822414,0.180573338
2,"B","TBR","Control","D2","heimat","Eindruck",NA,NA,0,0,2,"TBR",NA,NA,NA,0.5,"TBR1",0.400801627,0.229987807
2,"B","TBR","Control","D2","zeichen","Sache",1,NA,1,1,3,"TBR","TBR",NA,NA,1.5,"TBR2",0.374662962,0.2080921
2,"B","TBR","Control","D2","satz","Bevölkerung",NA,1,0.5,0,4,"TBR","TBR","TBR",NA,2.5,"TBR3",0.36288573,0.200104412
2,"B","TBR","Control","D2","wohnung","Stadt",1,NA,1,1,5,"TBR","TBR","TBR","TBR",2.5,"TBR3",0.377315264,0.209424539
2,"B","TBR","Control","D2","rücken","Angst",NA,NA,0,1,9,"TBF","TBF","TBF","TBR",-2.5,"TBF3",NA,NA
2,"B","TBR","Control","D2","krieg","Foto",NA,NA,0,1,10,"TBR","TBF","TBF","TBF",0.5,"TBR1",0.352777062,0.184906193
2,"B","TBR","Control","D2","land","Gegenwart",NA,NA,0,1,14,"TBF","TBF","TBF","TBR",-2.5,"TBF3",0.41298379,0.236478944
2,"B","TBR","Control","D2","hoffnung","Bedingung",NA,NA,0,1,16,"TBF","TBR","TBF","TBF",-0.5,"TBF1",0.410408007,0.233271059
2,"B","TBR","Control","D2","name","Akademie",NA,NA,0,0,17,"TBR","TBF","TBR","TBF",0.5,"TBR1",0.37362984,0.190122871
